Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
GET|HEAD ; autoridadeom/formulario                              ; autoridadeom.form                ; App\Http\Controllers\Apresentacao\DadosOmController@form                    ; web,permission:,permission:editar-dados-unidade      ;
GET|HEAD ; autoridadeom/outras                                  ; autoridadeom.outras              ; App\Http\Controllers\Apresentacao\DadosOmController@outras                  ; web,permission:                                      ;
POST     ; busca/completadados                                  ; busca.completadados              ; App\Http\Controllers\Busca\BuscaController@completadados                    ; web                                                  ;
GET|HEAD ; busca/documentacao                                   ; busca.documentacao               ; App\Http\Controllers\Busca\BuscaController@documentacao                     ; web                                                  ;
GET|HEAD ; busca/envolvido                                      ; busca.envolvido.search           ; App\Http\Controllers\Busca\BuscaController@searchEnvolvido                  ; web,permission:buscar-envolvido                      ;
POST     ; busca/envolvido/resultado                            ; busca.envolvido.result           ; App\Http\Controllers\Busca\BuscaController@resultEnvolvido                  ; web,permission:buscar-envolvido                      ;
POST     ; busca/fdi                                            ; busca.fdi                        ; App\Http\Controllers\Busca\BuscaController@fdi                              ; web                                                  ;
POST     ; busca/getpmrg/{rg}                                   ; busca.getpmrg                    ; App\Http\Controllers\Busca\BuscaController@getpmrg                          ; web                                                  ;
GET|HEAD ; busca/nominal                                        ; busca.nominal.search             ; App\Http\Controllers\Busca\BuscaController@searchNominal                    ; web,permission:buscar-pm                             ;
POST     ; busca/nominal/resultado                              ; busca.nominal.result             ; App\Http\Controllers\Busca\BuscaController@resultNominal                    ; web,permission:buscar-pm                             ;
GET|HEAD ; busca/ofendido                                       ; busca.ofendido.search            ; App\Http\Controllers\Busca\BuscaController@searchOfendido                   ; web,permission:buscar-ofendido                       ;
POST     ; busca/ofendido/resultado                             ; busca.ofendido.result            ; App\Http\Controllers\Busca\BuscaController@resultOfendido                   ; web,permission:buscar-ofendido                       ;
POST     ; busca/opcoes/nome                                    ; busca.opcoesnome                 ; App\Http\Controllers\Busca\BuscaController@opcoesnome                       ; web                                                  ;
POST     ; busca/opcoes/rg                                      ; busca.opcoesrg                   ; App\Http\Controllers\Busca\BuscaController@opcoesrg                         ; web                                                  ;
GET|HEAD ; busca/pdf                                            ; busca.pdf                        ; App\Http\Controllers\Busca\BuscaController@pdf                              ; web                                                  ;
GET|HEAD ; busca/pm                                             ; busca.pm                         ; App\Http\Controllers\Busca\BuscaController@pm                               ; web                                                  ;
